#Date,PM2.5
2016/1/1,27.70833333
2016/1/2,46.08333333
2016/1/3,38.47826087
2016/1/4,23.52173913
2016/1/5,31.47826087
2016/1/6,6.916666667
2016/1/7,21.625
2016/1/8,25.5
2016/1/9,22.29166667
2016/1/10,21.16666667
2016/1/11,6.375
2016/1/12,11.13043478
2016/1/13,11.75
2016/1/14,34.95833333
2016/1/15,43.29166667
2016/1/16,14.91666667
2016/1/17,10.16666667
2016/1/18,24.65217391
2016/1/19,44
2016/1/20,10.58333333
2016/1/21,5.666666667
2016/1/22,2.958333333
2016/1/23,17.625
2016/1/24,12.75
2016/1/25,12.91666667
2016/1/26,15.43478261
2016/1/27,19.5
2016/1/28,23.83333333
2016/1/29,5.625
2016/1/30,9.125
2016/1/31,11.41666667
2016/2/1,3.166666667
2016/2/2,4.173913043
2016/2/3,11.69565217
2016/2/4,9.458333333
2016/2/5,18.83333333
2016/2/6,60.29166667
2016/2/7,40.125
2016/2/8,17.75
2016/2/9,22.13043478
2016/2/10,36.08333333
2016/2/11,29.20833333
2016/2/12,18.5
2016/2/13,13.29166667
2016/2/14,4.166666667
2016/2/15,21.5
2016/2/16,12.875
2016/2/17,8.666666667
2016/2/18,18.33333333
2016/2/19,20.29411765
2016/2/20,34.66666667
2016/2/21,24.83333333
2016/2/22,25.20833333
2016/2/23,5.583333333
2016/2/24,14.77272727
2016/2/25,13.91666667
2016/2/26,11.5
2016/2/27,7
2016/2/28,12.20833333
2016/2/29,34
2016/3/1,17.66666667
2016/3/2,21
2016/3/3,42.625
2016/3/4,31.82608696
2016/3/5,38.04166667
2016/3/6,32.58333333
2016/3/7,24.625
2016/3/8,36.40909091
2016/3/9,6.772727273
2016/3/10,2.608695652
2016/3/11,13.41666667
2016/3/12,17.08333333
2016/3/13,21.29166667
2016/3/14,13.39130435
2016/3/15,17
2016/3/16,17.70833333
2016/3/17,30.41666667
2016/3/18,30.29166667
2016/3/19,23.125
2016/3/20,25.70833333
2016/3/21,27.20833333
2016/3/22,29.41666667
2016/3/23,13.5
2016/3/24,16.30434783
2016/3/25,13.08333333
2016/3/26,25.91304348
2016/3/27,26.5
2016/3/28,30.08333333
2016/3/29,42
2016/3/30,34.54166667
2016/3/31,61.375
2016/4/1,45.91666667
2016/4/2,50.16666667
2016/4/3,38.41666667
2016/4/4,38
2016/4/5,38.16666667
2016/4/6,32.26086957
2016/4/7,21.41666667
2016/4/8,32.29166667
2016/4/9,31.625
2016/4/10,21
2016/4/11,13.54166667
2016/4/12,26.79166667
2016/4/13,9.625
2016/4/14,21.04166667
2016/4/15,18.375
2016/4/16,23.04166667
2016/4/17,17.54166667
2016/4/18,11.43478261
2016/4/19,14.47826087
2016/4/20,30.91666667
2016/4/21,25.08333333
2016/4/22,25.375
2016/4/23,18.95833333
2016/4/24,16.25
2016/4/25,23.25
2016/4/26,43.16666667
2016/4/27,14.54166667
2016/4/28,28.66666667
2016/4/29,42.56521739
2016/4/30,59.33333333
2016/5/1,32.58333333
2016/5/2,18.45833333
2016/5/3,13.875
2016/5/4,31.25
2016/5/5,22.5
2016/5/6,13.08333333
2016/5/7,16.91666667
2016/5/8,25.70833333
2016/5/9,14.33333333
2016/5/10,10.375
2016/5/11,16.95652174
2016/5/12,20.79166667
2016/5/13,18.29166667
2016/5/14,14.375
2016/5/15,25.16666667
2016/5/16,10.34782609
2016/5/17,15.16666667
2016/5/18,18.95833333
2016/5/19,24.70833333
2016/5/20,19.125
2016/5/21,27.20833333
2016/5/22,19.625
2016/5/23,10.41666667
2016/5/24,11.91304348
2016/5/25,16.41666667
2016/5/26,26.70833333
2016/5/27,20.25
2016/5/28,8.041666667
2016/5/29,6.666666667
2016/5/30,7.25
2016/5/31,7.434782609
2016/6/1,7.333333333
2016/6/2,7
2016/6/3,8.166666667
2016/6/4,9.375
2016/6/5,12
2016/6/6,9.272727273
2016/6/7,12.875
2016/6/8,15.625
2016/6/9,13.20833333
2016/6/10,7.833333333
2016/6/11,2.083333333
2016/6/12,3.041666667
2016/6/13,2.666666667
2016/6/14,5.791666667
2016/6/15,7.684210526
2016/6/16,6.666666667
2016/6/17,5.708333333
2016/6/18,8.583333333
2016/6/19,8.5
2016/6/20,9.875
2016/6/21,7.916666667
2016/6/22,7.5
2016/6/23,7.565217391
2016/6/24,8.916666667
2016/6/25,6.5
2016/6/26,8.666666667
2016/6/27,10.20833333
2016/6/28,8.666666667
2016/6/29,8.869565217
2016/6/30,6.916666667
2016/7/1,6.375
2016/7/2,8.041666667
2016/7/3,6.791666667
2016/7/4,6.625
2016/7/5,7.15
2016/7/6,11.79166667
2016/7/7,2.333333333
2016/7/8,1.708333333
2016/7/9,3.541666667
2016/7/10,7.041666667
2016/7/11,4.857142857
2016/7/12,3.875
2016/7/13,4.541666667
2016/7/14,8.166666667
2016/7/15,9.291666667
2016/7/16,11.29166667
2016/7/17,10.45833333
2016/7/18,10.125
2016/7/19,5.708333333
2016/7/20,8.083333333
2016/7/21,13.47826087
2016/7/22,13.16666667
2016/7/23,13.5
2016/7/24,16.08333333
2016/7/25,18.04166667
2016/7/26,19.59090909
2016/7/27,11.75
2016/7/28,12.375
2016/7/29,20.66666667
2016/7/30,16.41666667
2016/7/31,8.708333333
2016/8/1,6.916666667
2016/8/2,7.782608696
2016/8/3,9.916666667
2016/8/4,5.875
2016/8/5,10.375
2016/8/6,16.66666667
2016/8/7,4.458333333
2016/8/8,3.19047619
2016/8/9,6.125
2016/8/10,7.75
2016/8/11,9.166666667
2016/8/12,9.25
2016/8/13,6.583333333
2016/8/14,9.083333333
2016/8/15,13.125
2016/8/16,9.416666667
2016/8/17,6.055555556
2016/8/18,5.739130435
2016/8/19,10.75
2016/8/20,9.125
2016/8/21,14.375
2016/8/22,13.66666667
2016/8/23,15.81818182
2016/8/24,15.91666667
2016/8/25,19.375
2016/8/26,19.25
2016/8/27,14.08333333
2016/8/28,17.08333333
2016/8/29,22.91304348
2016/8/30,23.91666667
2016/8/31,29.41666667
2016/9/1,33.79166667
2016/9/2,19
2016/9/3,11.54166667
2016/9/4,8.708333333
2016/9/5,9.125
2016/9/6,7.791666667
2016/9/7,2.416666667
2016/9/8,3.833333333
2016/9/9,8.130434783
2016/9/10,4.208333333
2016/9/11,9.333333333
2016/9/12,12.75
2016/9/13,4.652173913
2016/9/14,1.75
2016/9/15,8.166666667
2016/9/16,6.666666667
2016/9/17,2.208333333
2016/9/18,8.125
2016/9/19,21.26086957
2016/9/20,14.875
2016/9/21,9.708333333
2016/9/22,7.25
2016/9/23,7.125
2016/9/24,13.33333333
2016/9/25,14.95833333
2016/9/26,4.714285714
2016/9/27,1
2016/9/28,7.541666667
2016/9/29,12.91666667
2016/9/30,11.5
2016/10/1,11.375
2016/10/2,10.54166667
2016/10/3,11.17391304
2016/10/4,16.58333333
2016/10/5,11.5
2016/10/6,17.79166667
2016/10/7,28.91666667
2016/10/8,11.625
2016/10/9,3.166666667
2016/10/10,2.125
2016/10/11,2.944444444
2016/10/12,5.333333333
2016/10/13,9.25
2016/10/14,17.91666667
2016/10/15,3.291666667
2016/10/16,20.5
2016/10/17,4.347826087
2016/10/18,12.875
2016/10/19,15.33333333
2016/10/20,40.375
2016/10/21,23.79166667
2016/10/22,12.27272727
2016/10/23,8.166666667
2016/10/24,6.291666667
2016/10/25,16.29166667
2016/10/26,25.25
2016/10/27,35.91304348
2016/10/28,38.33333333
2016/10/29,8.083333333
2016/10/30,7.208333333
2016/10/31,7.041666667
2016/11/1,6.916666667
2016/11/2,8.458333333
2016/11/3,10.2173913
2016/11/4,12.29166667
2016/11/5,29.5
2016/11/6,27.33333333
2016/11/7,29.25
2016/11/8,20.34782609
2016/11/9,10.58333333
2016/11/10,8.541666667
2016/11/11,11.75
2016/11/12,23.04166667
2016/11/13,30.45833333
2016/11/14,46.08333333
2016/11/15,29.69565217
2016/11/16,15.79166667
2016/11/17,15.75
2016/11/18,28.875
2016/11/19,32.33333333
2016/11/20,15.04166667
2016/11/21,6
2016/11/22,10.41666667
2016/11/23,3.260869565
2016/11/24,3.260869565
2016/11/25,2.625
2016/11/26,8.625
2016/11/27,8.458333333
2016/11/28,22.16666667
2016/11/29,13.73913043
2016/11/30,13.54166667
2016/12/1,15.83333333
2016/12/2,15.20833333
2016/12/3,10.95833333
2016/12/4,15
2016/12/5,15.68181818
2016/12/6,35.20833333
2016/12/7,15.16666667
2016/12/8,7.333333333
2016/12/9,5.166666667
2016/12/10,11.625
2016/12/11,9.291666667
2016/12/12,22.08333333
2016/12/13,24.91304348
2016/12/14,12.17391304
2016/12/15,21.70833333
2016/12/16,20.08333333
2016/12/17,15.70833333
2016/12/18,22.41666667
2016/12/19,28.39130435
2016/12/20,18
2016/12/21,30.95833333
2016/12/22,17.41666667
2016/12/23,33.5
2016/12/24,19.58333333
2016/12/25,17.875
2016/12/26,31.83333333
2016/12/27,17.83333333
2016/12/28,6.958333333
2016/12/29,9.173913043
2016/12/30,12.91666667
2016/12/31,10.83333333
2017/1/1,17.875
2017/1/2,33.25
2017/1/3,18.33333333
2017/1/4,26.5
2017/1/5,46.69565217
2017/1/6,37.29166667
2017/1/7,27.91666667
2017/1/8,21.20833333
2017/1/9,22.95454545
2017/1/10,31.375
2017/1/11,25.70833333
2017/1/12,16.5
2017/1/13,10.25
2017/1/14,21.79166667
2017/1/15,8.375
2017/1/16,6.833333333
2017/1/17,12.60869565
2017/1/18,14.33333333
2017/1/19,14.375
2017/1/20,22.73913043
2017/1/21,19.45833333
2017/1/22,20.66666667
2017/1/23,20.45833333
2017/1/24,10
2017/1/25,12.875
2017/1/26,20.91666667
2017/1/27,25.91666667
2017/1/28,22.83333333
2017/1/29,40.16666667
2017/1/30,31.86956522
2017/1/31,10.16666667
2017/2/1,13.08333333
2017/2/2,16.20833333
2017/2/3,18.04347826
2017/2/4,21.875
2017/2/5,27.79166667
2017/2/6,34.82608696
2017/2/7,23.875
2017/2/8,17
2017/2/9,20.375
2017/2/10,46.41666667
2017/2/11,26.08333333
2017/2/12,15.25
2017/2/13,16.04166667
2017/2/14,20.41666667
2017/2/15,29.54166667
2017/2/16,36.5
2017/2/17,27.39130435
2017/2/18,45.375
2017/2/19,32.08333333
2017/2/20,35.83333333
2017/2/21,20.34782609
2017/2/22,15.91666667
2017/2/23,14.33333333
2017/2/24,13.20833333
2017/2/25,9.333333333
2017/2/26,16.58333333
2017/2/27,30.33333333
2017/2/28,27.91666667
2017/3/1,21.04166667
2017/3/2,30.20833333
2017/3/3,26.17391304
2017/3/4,31.70833333
2017/3/5,46.125
2017/3/6,29.5
2017/3/7,25.04166667
2017/3/8,27.52173913
2017/3/9,23.33333333
2017/3/10,13.54166667
2017/3/11,8
2017/3/12,24.58333333
2017/3/13,25.75
2017/3/14,13.60869565
2017/3/15,13.375
2017/3/16,13.54166667
2017/3/17,13.41666667
2017/3/18,29.75
2017/3/19,14.33333333
2017/3/20,18.45833333
2017/3/21,21.41666667
2017/3/22,12.625
2017/3/23,7.789473684
2017/3/24,12.47826087
2017/3/25,8.833333333
2017/3/26,30.5
2017/3/27,26.56521739
2017/3/28,37.79166667
2017/3/29,39.9
2017/3/30,47.90909091
2017/3/31,22.1
2017/4/1,33.04166667
2017/4/2,31.125
2017/4/3,18
2017/4/4,28.08333333
2017/4/5,26.52173913
2017/4/6,35.20833333
2017/4/7,27.70833333
2017/4/8,17.70833333
2017/4/9,18.41666667
2017/4/10,7.083333333
2017/4/11,9.652173913
2017/4/12,17.5
2017/4/13,24.5
2017/4/14,21.5
2017/4/15,21.70833333
2017/4/16,19.625
2017/4/17,12.25
2017/4/18,13
2017/4/19,33.73913043
2017/4/20,17.45833333
2017/4/21,9.952380952
2017/4/22,18.04166667
2017/4/23,17.29166667
2017/4/24,20.95652174
2017/4/25,21.875
2017/4/26,23.125
2017/4/27,10.33333333
2017/4/28,13.58333333
2017/4/29,16.625
2017/4/30,23.25
2017/5/1,30.41666667
2017/5/2,24.125
2017/5/3,25.20833333
2017/5/4,23.25
2017/5/5,21.39130435
2017/5/6,21.79166667
2017/5/7,14.75
2017/5/8,23.60869565
2017/5/9,9.333333333
2017/5/10,14.08333333
2017/5/11,18.625
2017/5/12,11.66666667
2017/5/13,6.541666667
2017/5/14,13.29166667
2017/5/15,16.04347826
2017/5/16,6.25
2017/5/17,12.39130435
2017/5/18,11.66666667
